Column 15,id,Active Probes,PCAP,T0 - tcpreplay (UTC),T1 - S0,T1 - S1,T1 -S2,T1 - S3,T1 - S4,T2 - S0,T2 - S1,T2 - S2,T2 - S3,T2 - S4,,,,,,,,,,,,,,,,,,,,,
14,218.254204,218.110911,218.026134,218.255105,217.327262,217.9947232,217.327262,218.255105,0.3449984534,,,,,,,,,,,,,,,,,,,,,55.85%,,,,,
15,326.262311,370.386349,358.192201,367.02473,347.130829,353.799284,326.262311,370.386349,15.95051122,,,,,,,,,,,,,,,,,,,,,,,,,,
16,338.28972,384.549694,350.076809,377.403772,359.148335,361.893666,338.28972,384.549694,17.07735466,,,,,,,,,,,,,,,,,,,,,,,,,,
17,348.954947,384.38706,337.356897,369.429827,356.62294,359.3503342,337.356897,384.38706,16.29507808,,,,,,,,,,,,,,,,,,,,,,,,,,
18,454.776299,454.773007,454.771871,454.772009,454.782696,454.7751764,454.771871,454.782696,0.004085804773,,,,,,,,,,,,,,,,,,,,,,,,,,
19,457.442885,457.16225,457.392309,457.391859,456.984249,457.2747104,456.984249,457.442885,0.1748434087,,,,,,,,,,,,,,,,,,,,,,,,,,
20,454.509358,454.668637,454.768085,454.501008,454.793075,454.6480326,454.501008,454.793075,0.1238719464,,,,,,,,,,,,,,,,,,,,,,,,,,
21,606.641468,606.356651,606.353013,606.233686,606.353652,606.387694,606.233686,606.641468,0.1352368326,,,,,,,,,,,,,,,,,,,,,,,,,,
22,610.821599,610.550136,611.374166,610.921475,611.224448,610.9783648,610.550136,611.374166,0.2927139907,,,,,,,,,,,,,,,,,,,,,,,,,,
23,828.312026,827.690286,827.697302,828.311004,827.698241,827.9417718,827.690286,828.312026,0.301906751,,,,,,,,,,,,,,,,,,,,,,,,,,
24,836.961236,836.231622,836.225211,837.212745,837.479505,836.8220638,836.225211,837.479505,0.5116804504,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1018.75201,1018.745488,1018.502217,1018.908422,1018.902904,1018.762208,1018.502217,1018.908422,0.1477516673,,,,,,,,,,,,,,,,,,,,,,,,,,
